USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
blaufer,22088,0.0,0.2,428428,18356,?,S,18:24,0:00,/usr/bin/gnote,--panel-applet,--oaf-activate-iid=OAFIID:GnoteApplet_Factory,--oaf-ior-fd=18
blaufer,22090,0.0,0.1,406788,11492,?,S,18:24,0:00,/usr/libexec/gdm-user-switch-applet,--oaf-activate-iid=OAFIID:GNOME_FastUserSwitchApplet_Factory,--oaf-ior-fd=24
blaufer,22093,0.0,0.0,293092,7980,?,S,18:24,0:00,/usr/libexec/notification-area-applet,--oaf-activate-iid=OAFIID:GNOME_NotificationAreaApplet_Factory,--oaf-ior-fd=30
blaufer,22094,0.0,0.1,344428,13428,?,S,18:24,0:01,/usr/libexec/wnck-applet,--oaf-activate-iid=OAFIID:GNOME_Wncklet_Factory,--oaf-ior-fd=39
blaufer,22095,0.0,0.1,555344,14156,?,S,18:24,0:00,/usr/libexec/clock-applet,--oaf-activate-iid=OAFIID:GNOME_ClockApplet_Factory,--oaf-ior-fd=38
blaufer,22155,0.0,0.0,43192,2340,?,S,18:24,0:00,/usr/libexec/gconf-im-settings-daemon
blaufer,22159,0.0,0.1,720896,11448,?,Sl,18:24,0:00,/usr/libexec/e-calendar-factory
blaufer,22167,0.0,0.1,700148,12496,?,Sl,18:24,0:00,/usr/libexec/e-addressbook-factory
blaufer,22170,0.0,0.0,96920,2668,?,S,18:24,0:00,/usr/libexec/pulse/gconf-helper
blaufer,22194,0.0,0.0,222672,3388,?,S,18:24,0:00,/usr/libexec/gvfsd-trash,--spawner,:1.7,/org/gtk/gvfs/exec_spaw/0
blaufer,22196,0.0,0.0,266020,2596,?,Ss,18:24,0:00,gnome-screensaver
blaufer,22201,0.0,0.0,141300,7020,?,S,18:24,0:00,/usr/libexec/gvfsd-metadata
blaufer,22203,0.0,0.0,139508,2276,?,S,18:24,0:00,/usr/libexec/gvfsd-burn,--spawner,:1.7,/org/gtk/gvfs/exec_spaw/1
root,22316,0.0,0.0,0,0,?,S,18:38,0:00,[flush-253:2]
blaufer,22466,0.0,0.0,356328,7796,?,S,18:40,0:00,/opt/chromium-browser/chromium-browser,--enable-plugins,--enable-extensions,--enable-user-scripts,--enable-printing,--enable-sync,--auto-ssl-client-auth,--ppapi-flash-path=/opt/chromium-browser/PepperFlash/libpepflashplayer.so,--ppapi-flash-version=11.9.900.170,--type=sandbox-ipc
blaufer,22467,0.0,0.0,6228,552,?,S,18:40,0:00,/opt/chromium-browser/chrome-sandbox,/opt/chromium-browser/chromium-browser,--type=zygote,--ppapi-flash-path=/opt/chromium-browser/PepperFlash/libpepflashplayer.so,--ppapi-flash-version=11.9.900.170
blaufer,22468,0.0,0.2,378384,18492,?,S,18:40,0:00,/opt/chromium-browser/chromium-browser,--type=zygote,--ppapi-flash-path=/opt/chromium-browser/PepperFlash/libpepflashplayer.so,--ppapi-flash-version=11.9.900.170
blaufer,22471,0.0,0.0,454164,5632,?,S,18:40,0:00,/opt/chromium-browser/chromium-browser,--type=zygote,--ppapi-flash-path=/opt/chromium-browser/PepperFlash/libpepflashplayer.so,--ppapi-flash-version=11.9.900.170
blaufer,22616,0.0,0.0,10320,728,?,S,18:41,0:00,gnome-pty-helper
blaufer,22617,0.0,0.0,110556,1988,pts/0,Ss,18:41,0:00,bash
postfix,22811,0.0,0.0,83028,3404,?,S,18:58,0:00,pickup,-l,-t,fifo,-u
blaufer,22930,0.0,0.0,221880,3036,?,S,19:06,0:00,/usr/libexec/gvfsd-computer,--spawner,:1.7,/org/gtk/gvfs/exec_spaw/2
blaufer,22982,0.0,0.1,720896,9408,?,Sl,Feb25,0:00,/usr/libexec/e-calendar-factory
root,23167,0.0,0.0,78100,4376,?,S,19:29,0:00,/usr/sbin/packagekitd
blaufer,23184,0.0,0.0,112588,1392,pts/0,R+,19:30,0:00,ps,aux,--sort=-pcpu
blaufer,23185,0.0,0.0,122032,1632,pts/0,S+,19:30,0:00,perl,-pe,s/,+/,/g
blaufer,24856,0.0,0.1,720896,9428,?,Sl,Feb25,0:00,/usr/libexec/e-calendar-factory
root,26598,0.0,0.0,12492,2808,?,S<,Feb11,0:00,/sbin/udevd,-d
blaufer,26939,0.0,0.1,720896,9700,?,Sl,Feb11,0:00,/usr/libexec/e-calendar-factory
