Year MO DY HR MN BOUH
2013 04 02 07 22 20815.92
2013 04 02 07 23 20815.79
2013 04 02 07 24 20815.71
2013 04 02 07 25 20815.60
2013 04 02 07 26 20815.54
2013 04 02 07 27 20815.55
2013 04 02 07 28 20815.54
2013 04 02 07 29 20815.49
2013 04 02 07 30 20815.45
2013 04 02 07 31 20815.49
2013 04 02 07 32 20815.59
2013 04 02 07 33 20815.69
2013 04 02 07 34 20815.74
2013 04 02 07 35 20815.77
2013 04 02 07 36 20815.73
2013 04 02 07 37 20815.69
2013 04 02 07 38 20815.66
2013 04 02 07 39 20815.65
2013 04 02 07 40 20815.62
2013 04 02 07 41 20815.67
2013 04 02 07 42 20815.74
2013 04 02 07 43 20815.81
2013 04 02 07 44 20815.92
2013 04 02 07 45 20815.99
2013 04 02 07 46 20815.99
2013 04 02 07 47 20815.99
2013 04 02 07 48 20816.17
2013 04 02 07 49 20816.35
2013 04 02 07 50 20816.49
2013 04 02 07 51 20816.67
2013 04 02 07 52 20816.77
2013 04 02 07 53 20816.76
2013 04 02 07 54 20816.75
2013 04 02 07 55 20816.76
2013 04 02 07 56 20816.83
2013 04 02 07 57 20816.84
2013 04 02 07 58 20816.79
2013 04 02 07 59 20816.81
2013 04 02 08 00 20816.77
2013 04 02 08 01 20816.79
2013 04 02 08 02 20816.80
2013 04 02 08 03 20816.73
2013 04 02 08 04 20816.63
2013 04 02 08 05 20816.63
2013 04 02 08 06 20816.69
2013 04 02 08 07 20816.74
2013 04 02 08 08 20816.78
2013 04 02 08 09 20816.76
2013 04 02 08 10 20816.70
2013 04 02 08 11 20816.68
2013 04 02 08 12 20816.68
2013 04 02 08 13 20816.70
2013 04 02 08 14 20816.77
2013 04 02 08 15 20816.86
2013 04 02 08 16 20816.94
2013 04 02 08 17 20817.03
2013 04 02 08 18 20817.19
2013 04 02 08 19 20817.20
2013 04 02 08 20 20817.18
2013 04 02 08 21 20817.20
2013 04 02 08 22 20817.19
2013 04 02 08 23 20817.11
2013 04 02 08 24 20817.06
2013 04 02 08 25 20816.98
2013 04 02 08 26 20816.88
2013 04 02 08 27 20816.83
2013 04 02 08 28 20816.77
2013 04 02 08 29 20816.78
2013 04 02 08 30 20816.83
2013 04 02 08 31 20816.85
2013 04 02 08 32 20816.95
2013 04 02 08 33 20817.05
2013 04 02 08 34 20817.11
2013 04 02 08 35 20817.16
2013 04 02 08 36 20817.19
2013 04 02 08 37 20817.23
2013 04 02 08 38 20817.27
2013 04 02 08 39 20817.24
2013 04 02 08 40 20817.17
2013 04 02 08 41 20817.09
2013 04 02 08 42 20817.06
2013 04 02 08 43 20817.04
2013 04 02 08 44 20816.99
2013 04 02 08 45 20816.96
2013 04 02 08 46 20816.95
2013 04 02 08 47 20816.94
2013 04 02 08 48 20816.90
2013 04 02 08 49 20816.89
2013 04 02 08 50 20816.85
2013 04 02 08 51 20816.89
2013 04 02 08 52 20816.90
2013 04 02 08 53 20816.89
2013 04 02 08 54 20816.92
2013 04 02 08 55 20816.94
2013 04 02 08 56 20817.01
2013 04 02 08 57 20817.09
2013 04 02 08 58 20817.14
2013 04 02 08 59 20817.21
2013 04 02 09 00 20817.23
2013 04 02 09 01 20817.22
2013 04 02 09 02 20817.23
2013 04 02 09 03 20817.26
2013 04 02 09 04 20817.21
2013 04 02 09 05 20817.22
2013 04 02 09 06 20817.28
2013 04 02 09 07 20817.26
2013 04 02 09 08 20817.33
2013 04 02 09 09 20817.36
2013 04 02 09 10 20817.35
2013 04 02 09 11 20817.25
